"","year","county","detections","ppt","tmin","tmax","tot_population","med_income","presence","tmean","county_x","county_y","neighbour_detections","presence_t1"
"236",2015,"forest",0,1222.92736816406,1.69918990135193,13.9897956848145,7581,35533,"no detection",7.84449279308319,1381530.20957431,2178599.16764716,0,"no detection"
"237",2016,"forest",0,1085.43469238281,2.87074494361877,14.9481315612793,7493,36594,"no detection",8.90943825244904,1381530.20957431,2178599.16764716,0,"no detection"
"238",2017,"forest",0,1338.76574707031,3.31580972671509,14.4406423568726,7388,37106,"no detection",8.87822604179382,1381530.20957431,2178599.16764716,0,"no detection"
"239",2018,"forest",0,1442.31311035156,3.29325222969055,13.6669912338257,7351,38383,"no detection",8.48012173175812,1381530.20957431,2178599.16764716,0,"no detection"
"240",2019,"forest",0,1440.36181640625,2.50449705123901,14.0134115219116,7313,39717,"no detection",8.25895428657532,1381530.20957431,2178599.16764716,0,"no detection"
"241",2020,"forest",0,1112.89196777344,3.37001705169678,14.7614974975586,7190,41225,"no detection",9.06575727462769,1381530.20957431,2178599.16764716,0,"no detection"
"242",2021,"forest",0,1178.71508789062,3.78134703636169,15.0453453063965,7121,43958,"no detection",9.41334617137909,1381530.20957431,2178599.16764716,0,"no detection"
"243",2022,"forest",0,1224.51049804688,2.4570791721344,14.5276546478271,6959,46188,"no detection",8.49236690998077,1381530.20957431,2178599.16764716,1,"no detection"
"244",2014,"franklin",0,1070.08142089844,4.73339319229126,15.5754995346069,151517,53394,"no detection",10.1544463634491,1538828.56005788,2027269.16220842,0,"no detection"
"245",2015,"franklin",0,944.138366699219,5.79661083221436,16.9766979217529,152285,53916,"no detection",11.3866543769836,1538828.56005788,2027269.16220842,0,"no detection"
"246",2016,"franklin",0,918.725219726562,6.32080554962158,17.6518459320068,152707,55751,"no detection",11.9863257408142,1538828.56005788,2027269.16220842,0,"no detection"
"247",2017,"franklin",0,1140.39636230469,6.5615816116333,17.5263404846191,153003,58267,"no detection",12.0439610481262,1538828.56005788,2027269.16220842,0,"no detection"
"248",2018,"franklin",0,1760.4716796875,6.50697326660156,16.363883972168,153751,59713,"no detection",11.4354286193848,1538828.56005788,2027269.16220842,1,"no detection"
"249",2019,"franklin",0,1214.33740234375,6.38977575302124,17.2083587646484,154147,63379,"no detection",11.7990672588348,1538828.56005788,2027269.16220842,0,"no detection"
"250",2020,"franklin",0,1049.19323730469,6.83694314956665,17.8022212982178,154954,63420,"no detection",12.3195822238922,1538828.56005788,2027269.16220842,0,"detection"
"251",2021,"franklin",3,1043.26025390625,6.8151683807373,17.6916465759277,155592,66329,"detection",12.2534074783325,1538828.56005788,2027269.16220842,42,"detection"
"252",2022,"franklin",26,1035.32641601562,5.74219226837158,17.0775623321533,156084,71808,"detection",11.4098773002625,1538828.56005788,2027269.16220842,144,"detection"
"253",2014,"fulton",0,981.168701171875,3.71829271316528,15.3374824523926,14747,48452,"no detection",9.52788758277893,1506304.08067988,2020773.39999797,0,"no detection"
"254",2015,"fulton",0,942.978759765625,4.84217405319214,16.75315284729,14694,48311,"no detection",10.7976634502411,1506304.08067988,2020773.39999797,0,"no detection"
